0	1	4298118681424644510	7686695	385	3	3	1601	5521	7709	576	490234
0	1	4860571499428580850	21560664	37484	2	2	2255103	317	48989	44771	490234
0	1	9704320783495875564	21748480	36759	3	3	4532751	60721	685038	29681	490234
0	1	13677630321509009335	3517124	23778	3	1	1601	2155	1207	1422	490234
0	1	3284760244799604489	20758093	34535	1	1	4532751	77819	266618	222223	490234
0	1	10196385171799537224	21375650	36832	2	1	4688625	202465	457316	429545	490234
0	1	4203081172173603803	4427028	28647	3	1	4532751	720719	3402221	2663964	490234
0	1	4203081172173603803	4428493	28647	2	2	13171922	1493	11658	5668	490234
0	1	585474943700910275	20945590	35083	2	1	35143	28111	151695	128782	490234
0	1	9684554778607002606	21406020	36943	2	2	4688625	202465	1172072	973354	490234
0	1	4860571499428580850	21560710	37484	2	2	4165614	4107	338524	817824	490234
